Site,Good,Bad,State,Bad Tags
cross_creek/wells/well_5;CROSS_CREEK_A_S_CRC_JF_4H,0,0,Unable to Process!
cross_creek/wells/well_6;CROSS_CREEK_A_SE_CRC_JF_6H,0,0,Unable to Process!
Pad Total (cross_creek):0
crowell/pad;CROWELL_WYN_JF,43,8,Needs work,
crowell/wells/well_1;CROWELL_W_WYN_JF_2H,34,15,Needs work,
crowell/wells/well_2;CROWELL_S_WYN_JF_4H,30,19,Needs work,
crowell/wells/well_3;CROWELL_WYN_JF_6H,27,17,Needs work,
crowell/wells/well_4;CROWELL_E_WYN_JF_8H,32,15,Needs work,
Pad Total (crowell):276
crowie/pad;CROWIE_RCH_BL,63,3,Close,
crowie/wells/well_1;COLEMAN_RCH_BL_4H,31,5,Needs work,
crowie/wells/well_2;CROWIE_RCH_BL_3H,22,15,Needs work,
crowie/wells/well_3;COLEMAN_RCH_BL_2H,24,13,Needs work,
crowie/wells/well_4;CROWIE_RCH_BL_1H,24,13,Needs work,
Pad Total (crowie):237
cypress/pad;CYPRESS_CDZ_HR,167,0,Unable to Process!
cypress/wells/well_1;CYPRESS_NW_CDZ_HR_1H,51,0,Unable to Process!
cypress/wells/well_2;CYPRESS_N_CDZ_HR_3H,49,0,Unable to Process!
cypress/wells/well_3;CYPRESS_NE_CDZ_HR_5H,49,0,Unable to Process!
cypress/wells/well_4;CYPRESS_E_CDZ_HR_7H,50,0,Unable to Process!
Pad Total (cypress):366
dalrymple/pad;DALRYMPLE_SMF_JF,57,5,Needs work,
dalrymple/wells/well_1;DALRYMPLE_SMF_JF_2H,34,7,Needs work,
dalrymple/wells/well_2;DALRYMPLE_SMF_JF_4H,29,12,Needs work,
Pad Total (dalrymple):157
darrow/pad;DARROW_MTP_JF,45,0,Perfect!,
darrow/wells/well_1;DARROW_W_MTP_JF_1H,34,4,Close,
darrow/wells/well_2;DARROW_S_MTP_JF_2H,28,11,Needs work,
darrow/wells/well_3;DARROW_E_MTP_JF_3H,22,15,Needs work,
